run_name,degree,signal_type,dimension,count,mean,std,p0,p1,p2,p5,p10,p25,p50,p75,p95,p99,p99_9,p99_99,p100
temp,3,action,0,46928,3.782514065860379e-05,0.00011609318862216643,0.0,2.220446049250313e-16,6.217248937900877e-15,9.008877199789821e-10,3.071567276080599e-08,5.636339342751651e-07,4.045128470631099e-06,2.1830852248772015e-05,0.00018877709964345578,0.0005369675825159521,0.001328224529864673,0.0021357437918944665,0.005168307122714877
temp,3,action,1,46928,0.00011959262641804544,0.00021526332053646907,0.0,1.1102230246251565e-16,2.52708964865178e-14,1.4741877751855972e-08,9.54816301146355e-07,1.0277805338410051e-05,4.3808435533421175e-05,0.00013186406166595943,0.0004965147610451331,0.0010795391064615989,0.0019969114572225767,0.002658469550403046,0.004542710507160486
temp,3,action,2,46928,2.7877806117044445e-05,0.00010451575523484749,0.0,2.7755575615628914e-17,3.4805491821998557e-16,1.2396030035777264e-11,2.1058402521756375e-09,1.79981699578724e-07,2.2984373566348193e-06,1.2077464884442668e-05,0.00012825723177947168,0.00046205531315971323,0.0013241786343146144,0.0023298346701116344,0.004024972798090137
temp,3,action,3,46928,0.0001360835815852382,0.0002530662938998561,0.0,2.220446049250313e-16,4.7091219812500624e-14,1.6539613767463377e-08,1.1023517426878014e-06,1.2316377568211134e-05,4.9801643671965046e-05,0.00014697967536636547,0.000568765786962866,0.001261537117766445,0.002315861356708077,0.004301391053738746,0.006874274878983178
temp,3,action,4,46928,0.00022220578547119138,0.0003790271207850416,0.0,1.1102230246251565e-16,4.9761028630967895e-14,7.201058904726663e-09,3.401598524632731e-07,8.496745012825935e-06,6.977354812499892e-05,0.0002669508916266494,0.0009678927341580379,0.0018064250214016777,0.003083338514885627,0.004511434293504004,0.00634062513836664
temp,3,action,5,46928,0.00024318790732594036,0.0003790252693026937,0.0,5.551115123125783e-17,9.00217400623404e-14,3.3971308113778236e-08,2.2319199642323316e-06,2.5529021913620054e-05,0.0001014892555825167,0.000291820027628939,0.0009921554106252551,0.001795776884752305,0.0028818650082140006,0.005574002138812598,0.007376256112256563
temp,3,action,6,46928,0.00018569428686661307,0.00031155321025807224,0.0,2.7755575615628914e-17,3.7903014060702804e-14,1.8643210555370484e-08,1.2797711882756022e-06,1.5243049453148028e-05,6.697314939387022e-05,0.00021336830671421503,0.000803403058831907,0.001508093989422231,0.0026466859331159874,0.003867843726304072,0.006701732788684064
temp,3,action,7,46928,0.00029513240825065516,0.00045158449764796303,0.0,8.67504979718797e-17,4.440892098500626e-16,2.8041569066772344e-12,4.802663919445393e-07,2.1410178872083296e-05,0.0001186150891092641,0.00037541939624946563,0.0012120996921822559,0.002135800977147868,0.0035121288459179106,0.005501709257428877,0.006275339356368592
temp,3,action,8,46928,0.00024754158191011357,0.00037091615894927345,0.0,4.1451527866785273e-23,4.39052259077521e-21,2.8855563771745777e-13,3.5235871383301413e-07,1.7717871293828963e-05,0.0001029298620502635,0.0003220538804620636,0.0009929593012874961,0.001736873062576388,0.00282278642012526,0.004093362590024408,0.005892012591313628
temp,3,action,9,46928,0.0003308518352197512,0.0005203214444336719,0.0,7.028175270928409e-22,7.287749176253719e-21,2.96280230764678e-13,4.5574327200009756e-07,2.3817288363056285e-05,0.00013285538823393228,0.0004124669420903504,0.0013444733053043709,0.0024349096013679397,0.004511147736813584,0.0064137831190442755,0.008381365469150581
