run_name,episode_uid,degree,spline_target_mode,signal_type,dimension,count,mean,std,p0,p1,p2,p5,p10,p25,p50,p75,p95,p99,p99_9,p99_99,p100
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,0,5664,4.233122839347442e-05,0.00013581339654434365,0.0,0.0,2.220446049250313e-16,1.072136046609275e-10,1.3428426770545359e-08,4.6115232232857295e-07,4.104546992511615e-06,2.4298104510767082e-05,0.000202427722029374,0.0005901136163018101,0.0016581881547335887,0.0023055099762938325,0.0028053049773069105
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,1,5664,0.00012311901072832018,0.0002215182219324252,0.0,0.0,2.220446049250313e-16,2.382245400944783e-09,6.269547457304905e-07,8.983929333739038e-06,4.335124695864501e-05,0.00014184421348012455,0.0005095238894613321,0.0010598759740878367,0.002096027655059824,0.0025742567032235497,0.0026289323589662184
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,2,5664,2.2204450563009556e-05,0.00010210437681432194,0.0,2.7755575615628914e-17,5.551115123125783e-17,6.026332211028774e-13,2.7481775466409226e-10,3.726698786371552e-08,9.396766360719733e-07,6.499158080437717e-06,9.737753630690766e-05,0.0004118011056763501,0.0013323795050507218,0.0025566519118004776,0.0031664958762283035
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,3,5664,0.00012219851254710235,0.00021479689399207463,0.0,2.220446049250313e-16,4.440892098500626e-16,3.5490203775800945e-09,6.746629381826353e-07,1.010324691030906e-05,4.754837416554025e-05,0.00013844063046974941,0.00048665796559501615,0.0010461155967547054,0.002141738457193432,0.002609041445390171,0.0027201921203123813
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,4,5664,0.00021940561256969133,0.0003744526731300874,0.0,0.0,4.440892098500626e-16,3.4910030873025545e-09,3.1144942901906173e-07,8.176404944659765e-06,6.289781776402936e-05,0.00026587993836030277,0.0009771040839429007,0.001788340651814787,0.002893772049171583,0.00395565793499586,0.004495682406772894
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,5,5664,0.00023011893069953396,0.00034717932834179676,0.0,2.7755575615628914e-17,9.04831765069504e-17,7.12839337974059e-09,1.561150251072619e-06,2.2650765252492377e-05,9.27209797828843e-05,0.00028672617493202585,0.0009066198922585172,0.001676319891916738,0.0027288248915641198,0.003492243536373075,0.0035769077299269147
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,6,5664,0.00017162536237587842,0.00029048024530560485,0.0,1.3877787807814457e-17,5.551115123125783e-17,4.464809245929851e-09,8.727629972782322e-07,1.1795424290930723e-05,5.724171558562502e-05,0.00019324432895664054,0.0007585243773169292,0.0014267657255341126,0.0021817016217700546,0.0028080755590746006,0.0031604839766041226
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,7,5664,0.000290993402534648,0.0004848235698813747,0.0,2.220446049250313e-16,4.440892098500626e-16,1.5857204438418745e-12,2.187790363095135e-07,1.406609951559723e-05,9.63348028085731e-05,0.00035673093227744923,0.0012535717212675877,0.002272167960348295,0.003951651044903648,0.005761774877082385,0.005899348951232231
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,8,5664,0.000233449774492211,0.0003751038758092053,0.0,2.034333127148914e-21,1.2169298018185782e-20,1.5344176450271621e-12,1.7160984581154894e-07,1.196992097068938e-05,7.953518712462693e-05,0.00029204096391960427,0.0009820889829746575,0.001753777968657039,0.0026422042518583475,0.004176112097780401,0.004334055153065314
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,9,5664,0.0003097426186688426,0.0005174067838812606,0.0,3.8985248451695926e-21,3.4522946900016236e-20,2.4063501191662346e-12,2.3799525223910938e-07,1.838225458544729e-05,0.00011338535823551821,0.0003642859500362708,0.001312298603530146,0.0023773245545445506,0.0048714142110520406,0.0056627639436137335,0.005777551326152056
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,10,5664,0.00021096239723141587,0.00036380737939810674,0.0,5.741540761606908e-21,2.821863560663476e-20,9.19060487436508e-13,1.0561320344382199e-07,8.435337565726453e-06,6.577026875281833e-05,0.0002612437725939623,0.0008991178001593116,0.0016498854381292922,0.0033266776105199234,0.005277025889908806,0.005426126910946905
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,11,5664,6.37008240279791e-05,0.0001613752529540977,0.0,4.9323198831408376e-21,1.9295535171055133e-20,2.707528318513191e-13,2.746148897378454e-08,9.841536047650729e-07,8.44930076796327e-06,4.870396872930227e-05,0.0003309374321202989,0.0007529503231357271,0.0018152406065008184,0.0024601543042330064,0.0026190616175297277
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,12,5664,0.00028038815859082283,0.0004451816441305945,0.0,0.0,3.014089321375547e-19,2.2272184097005496e-12,2.563993856785629e-07,1.3183237808411796e-05,9.237700011471839e-05,0.0003563738938507921,0.001183772425540985,0.0021122350706093535,0.0033457406414437595,0.004197637922695277,0.004218124170449311
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,13,5664,0.00013186618141620475,0.0002214058706849203,0.0,5.925364482150681e-21,4.2108529859684036e-20,9.39939792665716e-13,1.2598378359290896e-07,6.594048555554066e-06,4.4277693176754396e-05,0.0001611290893500858,0.0005640240751551654,0.00105291527813817,0.0020200211313398213,0.0025420312740439843,0.0025433947772865173
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,14,5664,0.0002733075803401374,0.00047527404432818444,0.0,2.2399923273963147e-21,2.2000142533676486e-20,7.075298680270279e-13,1.9031486081511065e-07,1.1060516604405324e-05,7.419461627332369e-05,0.00031577035859042465,0.0012485804540085833,0.0022875188873312355,0.003803288496859514,0.004810936276015432,0.005278276500979173
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,15,5664,0.0001380613781292923,0.00032188015330415,0.0,0.0,1.9339469400126903e-20,1.690697764266297e-13,4.3143075661999935e-08,2.7023200519470103e-06,2.472031389674778e-05,0.00012727789710675896,0.0006451949224255042,0.001589443187635376,0.003509978117668444,0.004005887681413795,0.004156474835236845
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,16,5664,0.00021940627226406173,0.0003734607693466069,0.0,7.266147344109182e-20,3.690576305130421e-19,5.3475113226398486e-12,1.9673450012414063e-07,1.1001937361226899e-05,7.31040261714444e-05,0.00026752850434860753,0.0009385554965282354,0.0017674984003651828,0.002945522033300987,0.004947150396158688,0.005789620555566977
