run_name,episode_uid,degree,spline_target_mode,signal_type,count,mean,std,p0,p1,p2,p5,p10,p25,p50,p75,p95,p99,p99_9,p99_99,p100
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action,368160,0.00016576652761077289,0.0003272368873652533,0.0,0.0,0.0,1.1102230246251565e-16,2.2462818272117633e-10,3.6715979419271044e-06,4.4164515778377655e-05,0.00017584785329573683,0.0007506833448842234,0.001615706962671882,0.0029245585553092264,0.005254155534333173,0.00841665054178553
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action_velocity,368160,0.007686843256283201,0.047814635241007944,0.0,1.404032742393649e-19,4.124625498624025e-16,5.0515042346136e-15,1.3635124868249442e-05,0.00032387366287055653,0.0018422120870728125,0.006252381466619853,0.028445920529435797,0.08029080488299906,0.3304419279430644,2.722942666542142,5.220661341240825
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action_acceleration,368160,1.1242503541903592,13.279565930250223,0.0,3.5258370201870293e-19,5.4151906893609984e-15,2.997693648140375e-13,0.00040670609379641617,0.011136950524901159,0.07613196628839383,0.3362417445177741,3.6796775978866405,18.138642720905274,80.90175983597109,631.7281632912296,1799.963228617006
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000000,3,global_action,action_jerk,368160,64.59643723997672,783.5186369497939,0.0,3.6939285748207373e-19,6.072343892590364e-14,1.5088621596400238e-11,0.009274977615998707,0.3731567146637454,2.7744914945562265,14.941645473337893,216.53754766653495,1067.6486698389383,4728.515822215709,29580.080947810027,114161.46507425718
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000001,3,global_action,action,309465,0.00015319424898240937,0.000286257679722304,0.0,0.0,1.4884864861432106e-21,1.1102230246251565e-16,2.6525206031635693e-09,4.616415676467894e-06,4.486567214187498e-05,0.00017169393576316194,0.0006740859568753254,0.001406234956408405,0.0025371602040472016,0.00424274921667893,0.006616405720998142
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000001,3,global_action,action_velocity,309465,0.007479475614094519,0.04905495705973008,0.0,9.697373290718457e-20,2.2691485921121895e-16,4.725998722774502e-15,1.816567470533531e-05,0.00036845772913726704,0.0019312636249514403,0.0062311176222152615,0.026565725982946875,0.0742786152743845,0.32371875127918814,2.9150414018812945,5.17317111258815
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000001,3,global_action,action_acceleration,309465,1.1573169291719916,13.982217918446757,0.0,2.480982985199086e-19,3.6325815692860076e-15,2.498078040116742e-13,0.000582700945123025,0.013612674929538592,0.08305968770827897,0.350103952918823,3.8864459459711154,17.63136834501361,86.9472380767125,633.5159090221617,1771.4334899153564
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000001,3,global_action,action_jerk,309465,66.84541203733664,825.625211533209,0.0,3.265559429000798e-19,3.7822263096626045e-14,1.1248660187287347e-11,0.014308138036012632,0.47034163202816553,3.11601125827147,16.327967483038783,229.4434463107183,1040.498767642929,4914.972513529314,42314.58681156626,112933.45524086623
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000002,3,global_action,action,307580,0.0001632082766203386,0.00031338893841320777,0.0,0.0,0.0,1.1102230246251565e-16,4.568756475573094e-11,3.844654840441664e-06,4.5225431759879885e-05,0.0001785440604648303,0.0007329197632336192,0.0015359876170908929,0.002759807324327082,0.005050114327991032,0.008190164008165524
temp,season_POC22061_2026_07_14_10_09_42_train__episode_000002,3,global_action,action_velocity,307580,0.007899960676499788,0.05061858714850854,0.0,7.736134531840491e-19,2.6360102725318125e-16,4.663007855277806e-15,1.66940659185888e-05,0.00034189284173478224,0.0018616294343628652,0.006238249208988588,0.02841843420452374,0.08171186297839939,0.36519653529474416,2.8958385653243583,4.849279093032577
